nombreObjeto,perimetro,area,circularidad,convexArea
obj4IMAG042.BMP,117.279,372,0.339869580489572,522
obj5IMAG042.BMP,87.896,654,1.06377404391926,664
obj1IMAG043.BMP,133.325,1060,0.749363515393388,1197
obj2IMAG043.BMP,208.746,420,0.121121943240431,1428
obj3IMAG043.BMP,216.175,441,0.118587118977349,1494
obj4IMAG043.BMP,117.552,376,0.341930360337965,515
obj5IMAG043.BMP,86.614,631,1.05697090328607,645
obj1IMAG044.BMP,89.351,663,1.04357714113733,678
obj2IMAG044.BMP,94.388,753,1.06211434011385,767
obj3IMAG044.BMP,95.72,735,1.00807262947269,754
obj4IMAG044.BMP,93.751,739,1.05658024097106,757
obj5IMAG044.BMP,89.31,679,1.06974301543422,691
obj1IMAG045.BMP,136.226,1086,0.735393318995437,1238
obj2IMAG045.BMP,143.81,1210,0.735219575478303,1382
obj3IMAG045.BMP,144.011,1179,0.7143850162113,1342
obj4IMAG045.BMP,145.472,1215,0.721485026903383,1375
obj5IMAG045.BMP,142.173,1083,0.673292947592998,1257
obj1IMAG046.BMP,142.315,1189,0.737717973146671,1354
obj2IMAG046.BMP,136.83,1078,0.723545706794755,1232
obj3IMAG046.BMP,242.524,506,0.108106283115503,1266
obj4IMAG046.BMP,231.078,480,0.112962397531376,1192
obj5IMAG046.BMP,155.786,763,0.395073180971885,1096
obj1IMAG047.BMP,143.167,1184,0.725898196155396,1344
obj2IMAG047.BMP,108.639,334,0.355618881857765,437
obj3IMAG047.BMP,120.853,319,0.274464181673583,460
obj4IMAG047.BMP,233.08,491,0.113574631739422,1208
obj5IMAG047.BMP,155.513,774,0.40217718117896,1106
obj1IMAG048.BMP,144.937,1189,0.711267857370039,1355
obj2IMAG048.BMP,119.324,350,0.30890312476902,467
obj3IMAG048.BMP,95.422,762,1.05164171686646,776
obj4IMAG048.BMP,109.111,405,0.42749182598128,501
obj5IMAG048.BMP,200.196,370,0.116011434354107,1365
obj1IMAG049.BMP,115.667,358,0.336259023456442,464
obj2IMAG049.BMP,235.908,522,0.117867759851094,1282
obj3IMAG049.BMP,149.675,1102,0.618148649707519,1261
obj4IMAG049.BMP,208.498,409,0.118230461616433,1397
obj5IMAG049.BMP,205.098,391,0.116805628513017,1375
obj1IMAG050.BMP,226.902,481,0.117402756145027,1146
obj2IMAG050.BMP,125.823,346,0.274641328429287,493
obj3IMAG050.BMP,155.779,1145,0.592921948913619,1327
obj4IMAG050.BMP,95.521,758,1.04395396682543,777
obj5IMAG050.BMP,113.385,378,0.369479591732994,481
obj1IMAG051.BMP,166.827,866,0.391016492677483,1271
obj2IMAG051.BMP,90.898,699,1.06311044331672,709
obj3IMAG051.BMP,97.398,793,1.05046835331087,813
obj4IMAG051.BMP,96.373,754,1.02016507881889,776
obj5IMAG051.BMP,90.154,690,1.06681460770457,698
obj6IMAG051.BMP,93.47,714,1.02698379404062,731
obj1IMAG052.BMP,167.861,846,0.37729462223907,1244
obj2IMAG052.BMP,90.352,690,1.06214403383086,701
obj3IMAG052.BMP,97.026,792,1.05720398289009,811
obj4IMAG052.BMP,144.381,350,0.210988030151418,529
obj5IMAG052.BMP,90.336,689,1.06098042919619,698
obj6IMAG052.BMP,92.064,715,1.06007410379926,732
obj1IMAG053.BMP,237.288,513,0.114492141173143,1262
obj2IMAG053.BMP,90.716,693,1.05821841292281,705
obj3IMAG053.BMP,97.208,794,1.05590865754276,808
obj4IMAG053.BMP,145.986,374,0.220525618093173,515
obj5IMAG053.BMP,90.526,691,1.05959829170941,702
obj6IMAG053.BMP,212.353,398,0.11091138650137,1418
obj1IMAG054.BMP,238.967,523,0.115089496467055,1272
obj2IMAG054.BMP,90.898,696,1.05854773755141,708
obj3IMAG054.BMP,97.183,792,1.05379089719809,807
obj4IMAG054.BMP,129.437,385,0.288771092757492,525
obj5IMAG054.BMP,211.038,393,0.110887116316455,1392
obj6IMAG054.BMP,110.067,363,0.376532293945963,481
obj1IMAG055.BMP,236.792,524,0.117437581711634,1260
obj2IMAG055.BMP,91.212,702,1.06033480947995,717
obj3IMAG055.BMP,97.183,795,1.05778252938444,807
obj4IMAG055.BMP,135.103,381,0.262303964227321,527
obj5IMAG055.BMP,112.052,364,0.3643107801788,489
obj6IMAG055.BMP,112.442,340,0.337933819924762,430
obj1IMAG056.BMP,165.693,872,0.399133358478402,1268
obj2IMAG056.BMP,226.744,481,0.117566430582802,1195
obj3IMAG056.BMP,96.72,788,1.05853081615823,800
obj4IMAG056.BMP,134.043,357,0.249683476012693,516
obj5IMAG056.BMP,108.479,356,0.380161835549287,470
obj6IMAG056.BMP,128.643,326,0.247545562310492,432
obj1IMAG057.BMP,218.596,460,0.120971558083806,1534
obj2IMAG057.BMP,228.282,482,0.11622874934231,1194
obj3IMAG057.BMP,97.282,785,1.04235232535129,803
obj4IMAG057.BMP,122.084,368,0.310270283330416,515
obj5IMAG057.BMP,111.291,358,0.363222548398694,487
obj6IMAG057.BMP,130.984,323,0.236578834936769,429
obj1IMAG058.BMP,205.828,441,0.130809578212185,1415
obj2IMAG058.BMP,161.268,795,0.384132093106184,1206
obj3IMAG058.BMP,227.57,451,0.10943503644359,1585
obj4IMAG058.BMP,120.612,377,0.325664317434206,515
obj5IMAG058.BMP,108.454,368,0.39315747219524,475
obj6IMAG058.BMP,115.791,342,0.320543046947861,433
obj1IMAG059.BMP,210.226,435,0.123687629704429,1445
obj2IMAG059.BMP,121.373,369,0.314769074375005,503
obj3IMAG059.BMP,225.921,405,0.0997129772789461,1626
obj4IMAG059.BMP,212.393,450,0.125355091799491,1485
obj5IMAG059.BMP,122.547,377,0.315461123859628,591
obj6IMAG059.BMP,125.922,339,0.268662057516399,438
obj1IMAG060.BMP,93.47,731,1.05143578913682,748
obj2IMAG060.BMP,109.91,361,0.375528281816905,490
obj3IMAG060.BMP,148.806,1251,0.709947588349785,1444
obj4IMAG060.BMP,93.338,732,1.05585422835842,745
obj5IMAG060.BMP,112.904,367,0.361790593619459,487
obj6IMAG060.BMP,107.495,343,0.373015995984466,440
obj1IMAG061.BMP,109.96,378,0.392854924545115,510
obj2IMAG061.BMP,94.586,742,1.04222155241689,763
obj3IMAG061.BMP,143.605,1187,0.723304988477659,1361
obj4IMAG061.BMP,151.783,1245,0.679098780520606,1437
obj5IMAG061.BMP,109.306,358,0.376534597493261,467
obj6IMAG061.BMP,147.308,302,0.174889662920391,430
obj1IMAG062.BMP,107.644,367,0.398012098019364,486
obj2IMAG062.BMP,144.366,1199,0.72293491520089,1385
obj3IMAG062.BMP,142.042,1175,0.731836680866036,1333
obj4IMAG062.BMP,152.594,1231,0.664343976965897,1418
obj5IMAG062.BMP,115.41,343,0.323606399922621,522
obj6IMAG062.BMP,135.672,308,0.210271361221412,427
obj1IMAG063.BMP,108.703,345,0.366898468686175,459
obj2IMAG063.BMP,144.664,1196,0.718158169303487,1382
obj3IMAG063.BMP,142.141,1177,0.732061544658345,1340
obj4IMAG063.BMP,149.592,1240,0.696329528099832,1425
obj5IMAG063.BMP,210.155,393,0.11182089398521,1425
